Borough,Neighborhood,ID,Name
Manhattan,Financial District,5cf965947564f7002c79aa21,For Five Coffee Roasters
Manhattan,Financial District,500d3cede4b0f6804faa90a8,Blue Spoon Coffee Co.
Manhattan,Financial District,566de7e3498e30e4798117ae,Voyager Espresso
Manhattan,Financial District,4a9ff5d9f964a520ba3d20e3,Starbucks
Manhattan,Financial District,5985db5e4420d80bedd5e6ef,Boundless Plains Espresso
Manhattan,Financial District,5f11ef5e938b7c3b5ead3c4f,Suited
Manhattan,Financial District,5dfa92d864192300086a1931,787 Coffee
Manhattan,Financial District,5893aa7e1e1de501d95e372e,Café Grumpy
Manhattan,Financial District,59bd506ce2d4aa3d68b99a88,Blue Bottle Coffee
Queens,Astoria,5b9586483d4791002c832b13,Gossip Coffee
Queens,Astoria,4d52e7a63062a1cd1d7376a3,Caffe Borbone Inc
Queens,Woodside,53b6b632498ebfb1ade29958,Blue Cups Cafe
Queens,Jackson Heights,4b959d5bf964a52042ac34e3,Starbucks
Queens,Flushing,54858fb9498e5a6cf73d6dee,Starbucks
Queens,Long Island City,561e8aaa498eefc2281045f3,Etto Espresso Bar
Queens,Long Island City,599eb7c1d8fe7a509b5b12e2,Clever Blend Lic
Queens,Long Island City,5c97c48cc21cb10039e5ab1c,Sweetleaf
Queens,Long Island City,5892249345005e403fff2519,Partners Coffee
Queens,Long Island City,599089b916ef67066921cadc,Starbucks
Queens,Long Island City,4f454b39e4b0b7292f7726b3,Triple Shot World Atlas
Queens,Long Island City,56377108498ee642752d0355,Birch Coffee
Queens,Long Island City,5d45eb8657df850008a2715d,Starbucks
Queens,Sunnyside,4b9589d0f964a52033a834e3,Baruir's Coffee Store
Queens,Sunnyside,57a883bd498e9480d5d5ee0a,Coffee Tossy
Queens,East Elmhurst,4c951ab494a0236a10159312,Starbucks
Queens,Rego Park,5606c830498ea559acac8882,Starbucks
Queens,Little Neck,539f1236498eae48dda43154,Café 1 of a Kind
Queens,Little Neck,590a1b760d8a0f379c250f58,Bean & Bean
Queens,Briarwood,4b579c0df964a520623928e3,The Panorama Cafe
Queens,Jamaica Center,59117151fe37407b680309e4,Starbucks
Queens,Jamaica Center,4c7d897cb33a224b0b6ad881,Starbucks
Queens,Oakland Gardens,59e75457ccad6b7e88469eaa,Starbucks
Queens,Bay Terrace,4c103c96f1b6a593ada87b27,Starbucks
Queens,Arverne,5c9418079d7468002cf73500,Locals Collective NYC
Queens,Murray Hill,57a5e2d2498eefe2db3968f1,Coffee Factory
Queens,Murray Hill,50560c63e4b09ebc6fbd3084,Cafe de Cupping
Queens,Hillcrest,4fc94580d4f24895b4467dc0,Starbucks
Queens,Ravenswood,5cb9c6d9971317002ddde871,Kinship Coffee Roasters
Queens,Bellaire,4c316a5e3896e21e8712e790,Dunkin' / Baskin Robbins
Queens,North Corona,4e4dcd00bd41b76bef93518f,La Familia Coffee Shop
Staten Island,St. George,5ce097771de765002cda6a31,Starbucks
Staten Island,Stapleton,4f32062d19833175d60ac132,Best Coffee Shop
Staten Island,Stapleton,5bf864d5829b0c002c7f65b6,Coperaco
Staten Island,West Brighton,54947a1f498e25109b501a5c,Fab Cup
Staten Island,West Brighton,4b5c7f38f964a520c53229e3,Starbucks
Staten Island,West Brighton,4fb7e3c2e4b0c241c3f83b88,Beans & Leaves
Staten Island,New Springville,5aca35ef6f706a53e8564967,Starbucks
Staten Island,New Dorp,5894d0b82eb979725ec092fc,SIPS + MAKER
Staten Island,Eltingville,4bb65d86f562ef3b180b3097,Country Donuts
Staten Island,Woodrow,58276af2abffa17aebea675d,Starbucks
Brooklyn,Ditmas Park,4ccc11e772106dcb66ba9899,Cafe Madeline
Staten Island,Park Hill,4a7d7985f964a520afee1fe3,Starbucks
Staten Island,Charleston,4e4dcb41bd41b76bef9336c7,Starbucks
Staten Island,Charleston,4bfc55f2da7120a138e949fd,Starbucks
Staten Island,Arden Heights,4dac5c0cbd4197f68356a579,APlus at Sunoco
Staten Island,Heartland Village,5aca35ef6f706a53e8564967,Starbucks
Staten Island,Bulls Head,54c42298498e05bbd66a3e9d,Tim Hortons
Manhattan,Carnegie Hill,5b784d8d037be1002c195155,Jack’s Stir Brew Coffee
Manhattan,Carnegie Hill,599d7c7e61f0700d414c282b,Birch Coffee
Manhattan,Carnegie Hill,51ae935b7dd2de27a217609e,DTUT
Manhattan,Carnegie Hill,5abb96b31f8ed641d150eafa,Variety Coffee Roasters
Manhattan,Carnegie Hill,57fd457a498e39cd34012586,Starbucks
Manhattan,Carnegie Hill,5330323b498e2836f173cf9e,Starbucks
Manhattan,Carnegie Hill,4da39a219935a0933d0bcd6f,The Brown Cup
Manhattan,Carnegie Hill,552a7fbb498e1e8662ac8146,Go Cups
Manhattan,Noho,56c73a4a498ea736d7388245,Ludlow Coffee Supply
Manhattan,Noho,5682a50a498e25a5a1d870a2,The Lazy Llama Coffee Bar
Manhattan,Noho,52a08dfd11d2c0b1f8dc28f6,Mudpark
Manhattan,Noho,4f22b060e4b02a95fc886761,Caffe Vita Coffee Roasting Co.
Manhattan,Noho,56054685498e21a5e4c9d5b2,Coffee Project New York
Manhattan,Civic Center,5c7d2d843d4791002c881f1c,Hungry Ghost
Manhattan,Civic Center,5941bb256f706a35169d1b7a,Think Coffee
Manhattan,Civic Center,56093809498e5344ab8835a6,The Wooly Daily
Manhattan,Civic Center,5d920337a6193400088e446d,Blue Bottle Coffee
Manhattan,Civic Center,4ea0afbf9adf1e334e4cc0e6,Laughing Man Coffee & Tea
Manhattan,Civic Center,597a11ccb2958f056b27c60d,Jack’s Stir Brew Coffee
Manhattan,Civic Center,56e7f585498ed6598b4030cd,Birch Coffee
Manhattan,Midtown South,5a09b45b6dcf043c23d5ad4e,King’s Street Coffee
Manhattan,Midtown South,59ac2ec6fdb9a734dd847025,Paper Coffee
Manhattan,Midtown South,4aa52d50f964a520834720e3,Stumptown Coffee Roasters
Staten Island,Concord,4a7d7985f964a520afee1fe3,Starbucks
Brooklyn,Remsen Village,56d0ce6ecd1080b2a0a9ecf8,brooklyn cafe brookdale
Queens,Jamaica Hills,4afef300f964a520033222e3,Richie's Place Coffee Shop
Bronx,Concourse Village,55f96d71498e452a8e98af29,Starbucks
Manhattan,Sutton Place,53ce4d05498e4047bd6e9519,Birch Coffee
Manhattan,Sutton Place,5c9ce7ca3e6741002cbfbc50,Dan Jones
Queens,Hunters Point,4a37f385f964a520989e1fe3,Sweetleaf
Queens,Hunters Point,560d7503498e239cc7a0387a,Communitea
Manhattan,Turtle Bay,51b70eb9454a121ab89e5c42,Pennylane Coffee
Manhattan,Turtle Bay,5e486228a95a5400082e4795,Remi Flowers & Coffee on 43rd
Manhattan,Turtle Bay,55ca5d85498e594f7095854a,Pickler & Co.
Manhattan,Turtle Bay,51ef337eccda532d86e9c863,Bluestone Lane
Manhattan,Turtle Bay,5d03abf2561a37002cb8db84,Blank Slate Coffee + Kitchen
Manhattan,Turtle Bay,546ca876498e1597e82ebd38,Ground Central Coffee Company
Manhattan,Turtle Bay,507db18ae4b0f570fa6bf5bc,United Nations Coffee Shop
Manhattan,Tudor City,5e486228a95a5400082e4795,Remi Flowers & Coffee on 43rd
Manhattan,Tudor City,546ca876498e1597e82ebd38,Ground Central Coffee Company
Manhattan,Tudor City,5d7bb678290f5e00075785d9,Starbucks
Manhattan,Stuyvesant Town,5cfc297c286fda002c46c195,Perk Kafe
Manhattan,Flatiron,5b9d8e69b6eedb002c72a39e,Devoción
Manhattan,Flatiron,5890d8aecc5b6a43d6daa0f9,Gotham Coffee Roasters
Manhattan,Flatiron,5a84fa9b72475048fff8f582,Peddler Coffee
Manhattan,Flatiron,4c7e6bf0b33a224b9cd5da81,Caffé Vergnano
Manhattan,Flatiron,5d2763ff8c3f0400235dbd57,Blue Bottle Coffee
Queens,Sunnyside Gardens,59286a3a12f0a919d922f5ca,Brookside Market
Queens,Sunnyside Gardens,4b749ffdf964a5208ce82de3,El Buen Sabor
Queens,Sunnyside Gardens,4aaadceff964a520c35720e3,Starbucks
Queens,Sunnyside Gardens,53626d4b498ecf7fc7bf800d,Caffé Bene
Brooklyn,Fulton Ferry,5995fc8cbcbf7a4289076636,Starbucks
Brooklyn,Fulton Ferry,590de1ce018cbb785fcc206e,FEED Shop & Cafe
Brooklyn,Vinegar Hill,56462ba0498efa95117dbf41,Café Usagi
Brooklyn,Vinegar Hill,4eefb1d529c22c6c75dbcbf7,Yalla at Punto Bianco
Brooklyn,Dumbo,56462ba0498efa95117dbf41,Café Usagi
Brooklyn,Dumbo,5995fc8cbcbf7a4289076636,Starbucks
Bronx,Kingsbridge Heights,4b71c776f964a520fb5b2de3,Perista
Bronx,Kingsbridge Heights,4c483d70c047be9a430c3379,Starbucks
Bronx,Kingsbridge Heights,5156f35be4b0dc046e1af723,Perista Coffee Shop
Manhattan,Hudson Yards,5c683caaf96b2c00397a8609,Oslo Coffee Roasters
Manhattan,Hudson Yards,526d9114498ec8efda93fcce,Romeo and Juliet Coffee
